"ID","USER_ID","COMPANY_ID","ROLE","IS_PRIMARY","HAS_AGREED_WITH_TERMS","HAS_AGREED_WITH_TERMS_AT","USER_ACTIVATION_LAST_NOTIFIED_AT"
"E04A22366B812B6CE053ED10000AF827","ZXLYD5JD4UC","B924KG413IQ","EMPLOYEE",1,0,,
"E04A22366B822B6CE053ED10000AF827","IHN1IWGH3SK","XP6FFMX5YE1","EMPLOYEE",1,0,,
"E04A22366B832B6CE053ED10000AF827","67ZUV74SKXJ","KCGEDFBBRIX","COMPANY_OWNER",1,0,,
"E04A22366B842B6CE053ED10000AF827","K3HLKT3XSM7","JB442NI6EGZ","EMPLOYEE",1,1,09-MAY-22 11.12.09.067000000,
"E04A22366B852B6CE053ED10000AF827","ZSJE2QYF8YT","229F92AZZSF","COMPANY_OWNER",1,1,21-SEP-20 15.45.16.183000000,
"E04A22366B862B6CE053ED10000AF827","DS72NGQAHIZ","PVNHY3V4XW8","EMPLOYEE",1,1,21-SEP-20 15.51.52.141000000,
"E04A22366B872B6CE053ED10000AF827","VFTS8PPEKRH","E9CTZE9XS9Y","COMPANY_OWNER",1,0,,
"E04A22366B892B6CE053ED10000AF827","N8E55HFHU9K","FNJGU33GCA6","EMPLOYEE",1,1,20-OCT-20 11.41.23.512000000,
"E04A22366B8A2B6CE053ED10000AF827","WNCYH9K5TFM","PVNHY3V4XW8","COMPANY_OWNER",1,1,07-DEC-20 16.30.46.252000000,
"E04A22366B8B2B6CE053ED10000AF827","1UWHXTLZHG9","6CFMBBYVJEH","COMPANY_OWNER",1,1,09-DEC-20 13.05.22.648000000,
"E04A22366B8C2B6CE053ED10000AF827","ICH1VG35LMR","TLIUGYU52K2","EMPLOYEE",1,1,17-DEC-20 19.32.00.781000000,
"E04A22366B8D2B6CE053ED10000AF827","RXIYA3H6F65","TLIUGYU52K2","EMPLOYEE",1,1,17-DEC-20 19.32.27.535000000,
"E04A22366B8E2B6CE053ED10000AF827","Y25FVXDGU5X","WTCFMXU534I","EMPLOYEE",1,0,,
"E04A22366B8F2B6CE053ED10000AF827","RL1CVDVUQTK","WCC8FSU8EC1","EMPLOYEE",1,0,,
